Date,FCost,GCost
2022-04-10,278.14,313.68
2022-04-11,270.99,348.65
2022-04-12,300.33,298.01
2022-04-13,425.72,355.06
2022-04-14,475.58,301.93
2022-04-15,472.44,323.73
2022-04-16,474.44,298.36
2022-04-17,431.19,303.82
2022-04-18,286,179.89
2022-04-19,282.47,326.59
2022-04-20,301.22,350.42
2022-04-21,327.93,412.87
2022-04-22,358.27,352.97
2022-04-23,330.75,198.07
2022-04-24,297.31,205.11
2022-04-25,258.93,193.16
2022-04-26,274.33,283.18
2022-04-27,309.34,359.62
2022-04-28,654.4,349.11
2022-04-29,838.77,414.9
2022-04-30,822.35,434.01
2022-05-01,76.69,253.88
2022-05-02,142.73,122.04
2022-05-03,139.97,94.86
2022-05-04,135.6,114.17
2022-05-05,99.5,59.37
2022-05-06,187.23,50.52
2022-05-07,265.48,35.01
2022-05-08,254.85,54.75
2022-05-09,227.43,21.28
2022-05-10,227.99,48.45
2022-05-11,266.07,152.44
2022-05-12,321.57,219.56
2022-05-13,362.43,291.48
2022-05-14,357.37,279.65
2022-05-15,315.24,332.82
2022-05-16,284.52,485.25
2022-05-17,288.74,444.72
2022-05-18,306.84,439.65
2022-05-19,355.58,366.01
2022-05-20,385.27,405.86
2022-05-21,413.65,408.53
2022-05-22,377.23,417.81
2022-05-23,340.11,314.96
2022-05-24,337.11,275.01
2022-05-25,428.25,383.21
2022-05-26,524.19,304.6
2022-05-27,602.34,369.89
2022-05-28,595.71,444.45
2022-05-29,553.42,436.77
2022-05-30,496.01,471.41
2022-05-31,318.25,494.69
2022-06-01,43.15,399.04
2022-06-02,30.84,454.07
2022-06-03,86.34,309.1
2022-06-04,195.88,342.85
2022-06-05,203.14,352.47
2022-06-06,199.25,317.79
2022-06-07,194.54,332.42
2022-06-08,213.08,377.3
2022-06-09,255.28,405.73
2022-06-10,290.54,460.85
2022-06-11,317.66,399.57
2022-06-12,307.84,435.31
2022-06-13,309.39,481.86
2022-06-14,316.31,506.82
2022-06-15,400.93,460.82
2022-06-16,409.27,509.63
2022-06-17,490.44,444.91
2022-06-18,529.22,471.11
2022-06-19,556.96,432.42
2022-06-20,520.39,400.94
2022-06-21,441.75,386.11
2022-06-22,391.93,405.88
2022-06-23,351.34,396.15
2022-06-24,337.86,322.8
2022-06-25,336,341.27
2022-06-26,337,326.37
2022-06-27,330.06,391.97
2022-06-28,312.05,355.66
2022-06-29,306.19,377.05
2022-06-30,80.99,304.48
2022-07-01,14.62,378.17
2022-07-02,32.76,442.79
2022-07-03,64.97,347.65
2022-07-04,250.33,308.85
2022-07-05,268.57,302.34
2022-07-06,314.49,364.42
2022-07-07,319.75,361.36
2022-07-08,332.26,435.01
2022-07-09,344.73,407.16
2022-07-10,409.84,276.26
2022-07-11,369.5,283.65
2022-07-12,395.88,311.52
2022-07-13,419.21,403.12
2022-07-14,410.04,235.02
2022-07-15,444.59,216.67
2022-07-16,483.51,216.84
2022-07-17,503.94,203.66
2022-07-18,458.76,168.03
2022-07-19,444.24,185.62
2022-07-20,620.31,172.9
2022-07-21,570.15,164.65
2022-07-22,622.24,185.29
2022-07-23,647.83,174.97
2022-07-24,652.23,138.18
2022-07-25,540.14,154.57
2022-07-26,508.82,161.96
2022-07-27,509.5,194.27
2022-07-28,505.39,204.66
2022-07-29,311.88,169.33
2022-07-30,248.91,175.04
2022-07-31,127.87,104.36
2022-08-01,59.46,118.92
2022-08-02,60.51,190.7
2022-08-03,73.16,265.65
2022-08-04,110.25,219.99
2022-08-05,165.66,231.43
2022-08-06,209.28,200.06
2022-08-07,216.19,158.84
2022-08-08,216.53,167.07
2022-08-09,217.44,201.28
2022-08-10,229.09,234.84
2022-08-11,277.74,228.54
2022-08-12,343.79,233.36
2022-08-13,369.7,201.64
2022-08-14,378.93,195
2022-08-15,358.61,157.09
2022-08-16,347.99,207.16
2022-08-17,337.28,356.69
2022-08-18,363.18,427.61
2022-08-19,370.07,401.32
2022-08-20,387.52,375.69
2022-08-21,405.21,250.99
2022-08-22,387.79,315.32
2022-08-23,125.55,420.81
2022-08-24,454.58,507.61
2022-08-25,738.49,610.78
2022-08-26,760.44,580.39
2022-08-27,779.8,531.9
2022-08-28,768.53,415.97
2022-08-29,739.93,401.62
2022-08-30,712.67,466.3
2022-08-31,247.13,380.55
2022-09-01,108.07,405.54
2022-09-02,109.6,533.5
2022-09-03,115.88,565.39
2022-09-04,114.58,474.87
2022-09-05,110.32,413.63
2022-09-06,128.62,440.82
2022-09-07,193.54,556.35
2022-09-08,253.12,584.71
2022-09-09,251.69,516.95
2022-09-10,355.23,553.63
2022-09-11,342.81,538.32
2022-09-12,356.83,480.13
2022-09-13,372.07,444.98
2022-09-14,408.24,454.3
2022-09-15,455.28,510.38
2022-09-16,553.41,534.56
2022-09-17,613.11,564.16
2022-09-18,606.94,528.92
2022-09-19,552.97,383.71
2022-09-20,511.44,318.21
2022-09-21,510.56,342.34
2022-09-22,562.44,461.13
2022-09-23,521.76,532.61
2022-09-24,495.43,514.83
2022-09-25,505.23,502.12
2022-09-26,413.8,228.42
2022-09-27,387.71,195.41
2022-09-28,311.04,257.22
2022-09-29,201.28,300.19
2022-09-30,144.54,307.94
2022-10-01,118.63,324.14
2022-10-02,132.01,312.64
2022-10-03,129.54,493.21
2022-10-04,144.96,621.68
2022-10-05,147.63,601.38
2022-10-06,149.86,681.19
2022-10-07,156.89,713.78
2022-10-08,187.6,711.99
2022-10-09,182.87,742.66
2022-10-10,177.2,763.82
2022-10-11,199.25,738.22
2022-10-12,203.58,754.71
2022-10-13,194.38,686.29
2022-10-14,309.45,694.74
2022-10-15,380.8,687.95
2022-10-16,374.99,605.69
2022-10-17,349.35,569.21
2022-10-18,363.2,655.26
2022-10-19,417.25,508.95
2022-10-20,457.97,665.59
2022-10-21,532.62,547.88
2022-10-22,564.13,614.64
2022-10-23,560.76,564.93
2022-10-24,549.46,673
2022-10-25,538.64,810.38
2022-10-26,572.25,984.68
2022-10-27,634.93,838.89
2022-10-28,710.96,660.75
2022-10-29,741.85,638.65
2022-10-30,731.12,578.03
2022-10-31,669.15,615.08
2022-11-01,553.24,561.34
2022-11-02,473.68,606.8
2022-11-03,386.42,672.65
2022-11-04,347.65,739.6
2022-11-05,356.42,729.65
2022-11-06,352.16,620.72
2022-11-07,347.45,695.11
2022-11-08,360.08,638.6
2022-11-09,401.95,648.75
2022-11-10,411.14,820.22
2022-11-11,449.15,683.98
2022-11-12,425.44,792.17
2022-11-13,403.45,963.05
2022-11-14,386.59,891.01
2022-11-15,383.44,1076.65
2022-11-16,434.13,934.61
2022-11-17,446.36,960.03
2022-11-18,479.47,997.66
2022-11-19,546.88,980.75
2022-11-20,536.56,942.35
2022-11-21,512.38,921.78
2022-11-22,510.26,969.81
2022-11-23,504.53,882.07
2022-11-24,502.1,951.8
2022-11-25,514.83,851.45
2022-11-26,534.84,930.59
2022-11-27,486.33,910.05
2022-11-28,534.22,887.49
2022-11-29,608.82,831.35
2022-11-30,640.85,679.68
2022-12-01,582.71,776.69
2022-12-02,572.74,832.88
2022-12-03,551.31,878.24
2022-12-04,530.07,754.12
2022-12-05,421.32,739.6
2022-12-06,358.13,819.85
2022-12-07,347,709.11
2022-12-08,383.63,798.61
2022-12-09,405.91,887.53
2022-12-10,441,853.85
2022-12-11,418.55,771.53
2022-12-12,404.48,859.94
2022-12-13,409.57,878
2022-12-14,358.82,736.41
2022-12-15,279.07,737.35
2022-12-16,285.35,912.44
2022-12-17,297.6,786.98
2022-12-18,303.44,712.87
2022-12-19,290.32,721.03
2022-12-20,266.4,708.02
2022-12-21,277.46,731.17
2022-12-22,283.56,745.63
2022-12-23,299.68,744.8
